Code,Name,総人口,日本人人口,外国人人口,住民基本台帳人口（総数）,15歳未満人口,15～64歳人口,65歳以上人口,人口集中地区人口,出生数,死亡数,転入者数,転出者数,昼間人口,総世帯数,一般世帯数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積(北方地域及び竹島を除く),可住地面積,課税対象所得,納税義務者数（所得割）,事業所数（民営）,従業者数（民営）,耕地面積,製造品出荷額等,製造業従業者数,商業年間商品販売額（卸売業＋小売業）,商業事業所数（卸売業＋小売業）,商業従業者数（卸売業＋小売業）,財政力指数(市町村財政),実質収支比率(市町村財政),実質公債費比率(市町村財政),歳入決算総額(市町村財政),歳出決算総額(市町村財政),地方税(市町村財政),幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,高等学校数,高等学校生徒数,労働力人口,就業者数,完全失業者数,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,雇用者数,役員数,雇人のある業主数,雇人のない業主数,家族従業者数,自市区町村で従業している就業者数,他市区町村への通勤者数,従業地による就業者数,他市区町村からの通勤者数,公民館数,図書館数,居住世帯あり住宅数,持ち家数,借家数,１住宅当たり延べ面積,非水洗化人口,ごみ計画収集人口,ごみ総排出量,ごみのリサイクル率,小売店数,飲食店数,大型小売店数,百貨店、総合スーパー数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,介護老人福祉施設数（基本票）,児童福祉施設等数（基本票）,保育所等数（基本票）,国民健康保険被保険者数
02362,大鰐町,8665,8663,2,8231,631,4262,3771,...,18,186,125,181,7199,3228,3211,1579,840,1082,421,604,15,7,163.43,37.66,7066,2860,316,1964,16,2740,217,5165,85,410,0.22,5.7,13.1,7468,7164,644,0,0,1,18,253,1,16,132,0,0,4554,4331,223,919,811,2474,2968,143,183,465,475,2109,2101,3110,880,1,0,...,...,...,...,999,8535,2591,12,79,28,1,0,0,5,2,9,2,8,1,3,2,2113
02367,田舎館村,7326,7312,11,7239,836,3845,2639,...,31,123,173,161,6257,2401,2393,1184,461,662,246,285,20,9,22.35,22.35,7166,2770,224,2186,14,10257,811,2777,35,202,0.27,15.4,8,4562,4132,598,0,0,1,20,340,1,19,204,0,0,3984,3839,145,807,890,2134,2754,121,117,454,379,1464,2366,3014,1541,1,0,...,...,...,...,605,7375,2311,9,30,17,0,0,0,2,0,1,0,0,0,3,2,1634
02381,板柳町,12700,12681,19,12198,1205,6672,4822,...,47,244,228,252,11180,4476,4459,2304,1016,1389,551,648,26,20,41.88,41.88,11555,4388,502,3075,30,5146,370,27532,135,897,0.27,12.8,11.1,7765,7216,929,0,0,4,48,455,1,25,255,0,0,7422,7156,266,2649,1117,3349,3955,214,483,1062,1392,4362,2756,5957,1557,1,1,...,...,...,...,517,12516,4034,6.6,121,48,2,0,1,5,5,9,8,9,1,2,2,3822
02384,鶴田町,12074,12059,15,11540,1263,6236,4575,...,36,209,203,263,10785,4256,4233,2226,996,1260,519,674,22,19,46.43,45.23,10680,3939,402,3185,29,9399,582,8557,83,583,0.27,11.8,11.9,7706,7202,937,1,17,1,33,494,1,23,261,1,187,6662,6208,454,2016,1135,3035,3713,212,369,808,1056,3675,2488,5283,1563,1,0,...,...,...,...,1350,11772,3001,19.2,81,33,2,0,0,5,3,7,2,7,1,4,3,3507
02387,中泊町,9657,9593,64,9417,756,4612,4289,...,30,228,195,229,9029,3870,3855,2021,1074,1320,684,748,14,7,216.34,66.88,8484,3053,446,3073,37,1289,178,11290,94,479,0.22,5.1,10.6,9990,9663,897,0,0,4,44,275,2,25,178,0,0,4758,4403,355,919,1192,2279,2944,195,186,615,413,3069,1286,3962,845,3,1,...,...,...,...,3464,9668,3024,10.6,84,29,1,0,0,8,2,4,3,3,2,1,0,2649
02401,野辺地町,12374,12223,151,11855,1102,6556,4713,...,31,272,289,298,11474,5433,5414,2813,1940,1573,750,981,32,14,81.68,27.2,14387,4887,648,4130,7,8401,332,18730,153,845,0.37,4.2,7.3,7664,7487,1307,1,27,2,35,426,1,23,233,2,262,6245,5951,294,444,1526,3903,4807,249,178,375,266,3806,2032,5073,1154,2,1,...,...,...,...,1367,12095,5010,8.6,138,76,1,0,1,4,8,17,8,12,1,5,4,2560
02402,七戸町,14556,14502,54,14014,1406,7202,5943,...,45,319,281,334,13991,5447,5424,2832,1465,1720,776,887,28,19,337.23,115.27,15482,5378,630,4783,68,9342,553,23020,154,944,0.38,2.8,3.3,13041,12777,2502,0,0,3,47,528,2,38,298,1,293,7848,7546,302,1538,1669,4317,5389,295,177,933,695,4878,2630,6932,2016,17,1,...,...,...,...,3868,14384,5384,14.5,136,51,2,0,1,6,4,12,6,19,3,7,1,3150
02405,六戸町,10447,10366,81,10551,1394,5522,3531,...,60,180,271,326,8929,3840,3829,2273,850,1071,511,488,31,20,83.89,57.68,12460,4186,360,3080,34,15969,464,11466,86,572,0.41,5.3,8.1,6609,6349,1456,0,0,3,56,571,2,33,279,0,0,5666,5467,199,1021,1296,3090,3972,215,189,539,491,2319,3090,4143,1766,1,1,...,...,...,...,1191,10746,2710,14.4,77,20,0,0,0,5,3,4,5,6,1,2,0,2378
02406,横浜町,4229,4153,76,4048,359,2179,1691,...,18,80,77,125,4172,1813,1809,857,685,530,238,279,7,3,126.38,31.05,4657,1608,198,1669,21,20053,622,2417,48,194,0.3,3.2,5.5,4164,4090,669,1,8,1,15,137,1,12,80,0,0,2366,2257,109,664,650,941,1572,73,104,210,284,1624,627,2299,669,1,1,...,...,...,...,1890,4201,1590,24.6,48,12,0,0,0,2,1,1,1,2,1,3,2,1111
02408,東北町,16428,16325,103,16005,1721,8396,6300,...,72,319,319,452,14699,5871,5833,3017,1505,1711,752,871,35,20,326.5,126.41,17572,6169,673,5344,80,6744,450,21056,164,970,0.31,6.7,11.7,13216,12713,1808,0,0,3,60,691,2,38,342,0,0,9001,8730,271,2080,1964,4580,5986,345,296,1014,1013,5520,3130,7467,1867,11,1,5620,4820,790,161.09,619,16468,4944,14.2,148,64,2,0,1,9,5,8,12,9,2,6,6,3726
